Summary
"최종 대상에서 주로 손실이 보입니다. 대상 서버, 방화벽, 서비스 구간 문제 가능성이 있습니다."
ANALYSIS_TARGET_ONLY_LOSS_OR_FILTER: 손실이 주로 최종 대상에서 보입니다. 조치: 대상 서비스/방화벽을 확인하고 보통 443 같은 서비스 포트로 TCP 연결 측정을 다시 시도하세요.
"CAUSE_FIREWALL_OR_TARGET_FILTER: 근거: 이전 Hop은 정상이나 최종 대상에서 손실 또는 응답 없음이 보입니다. 조치: 서비스 포트, 호스트 방화벽, 상위 구간 필터링을 확인하고 예상 포트로 TCP 연결 측정을 테스트하세요."
주의: 중간 Hop의 패킷 손실은 ICMP 응답 제한 또는 방화벽 정책일 수 있으므로 최종 대상 상태와 함께 판단해야 합니다.

측정시간,대상IP,구분,Hop,상태,지연시간,평균지연,최소지연,최대지연,손실률,송신,수신,실패,최근손실률,Jitter
,203.0.113.30,대상,0,TIMEOUT,,88.3,85.4,98.6,25.0,120,90,30,25.0,2.2

측정시간,대상IP,구분,Hop,성공,지연시간,상태
2026-08-21T19:55:14,203.0.113.30,대상,0,True,89.9,OK
2026-08-21T19:55:15,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:16,203.0.113.30,대상,0,True,90.6,OK
2026-08-21T19:55:17,203.0.113.30,대상,0,True,85.4,OK
2026-08-21T19:55:18,203.0.113.30,대상,0,True,85.8,OK
2026-08-21T19:55:19,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:20,203.0.113.30,대상,0,True,86.4,OK
2026-08-21T19:55:21,203.0.113.30,대상,0,True,86.7,OK
2026-08-21T19:55:22,203.0.113.30,대상,0,True,87.0,OK
2026-08-21T19:55:23,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:24,203.0.113.30,대상,0,True,87.7,OK
2026-08-21T19:55:25,203.0.113.30,대상,0,True,88.0,OK
2026-08-21T19:55:26,203.0.113.30,대상,0,True,88.3,OK
2026-08-21T19:55:27,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:28,203.0.113.30,대상,0,True,89.0,OK
2026-08-21T19:55:29,203.0.113.30,대상,0,True,89.3,OK
2026-08-21T19:55:30,203.0.113.30,대상,0,True,89.6,OK
2026-08-21T19:55:31,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:32,203.0.113.30,대상,0,True,90.2,OK
2026-08-21T19:55:33,203.0.113.30,대상,0,True,90.6,OK
2026-08-21T19:55:34,203.0.113.30,대상,0,True,85.4,OK
2026-08-21T19:55:35,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:36,203.0.113.30,대상,0,True,95.1,OK
2026-08-21T19:55:37,203.0.113.30,대상,0,True,86.4,OK
2026-08-21T19:55:38,203.0.113.30,대상,0,True,86.7,OK
2026-08-21T19:55:39,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:40,203.0.113.30,대상,0,True,87.4,OK
2026-08-21T19:55:41,203.0.113.30,대상,0,True,87.7,OK
2026-08-21T19:55:42,203.0.113.30,대상,0,True,88.0,OK
2026-08-21T19:55:43,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:44,203.0.113.30,대상,0,True,88.6,OK
2026-08-21T19:55:45,203.0.113.30,대상,0,True,89.0,OK
2026-08-21T19:55:46,203.0.113.30,대상,0,True,89.3,OK
2026-08-21T19:55:47,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:48,203.0.113.30,대상,0,True,89.9,OK
2026-08-21T19:55:49,203.0.113.30,대상,0,True,90.2,OK
2026-08-21T19:55:50,203.0.113.30,대상,0,True,90.6,OK
2026-08-21T19:55:51,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:52,203.0.113.30,대상,0,True,85.8,OK
2026-08-21T19:55:53,203.0.113.30,대상,0,True,86.1,OK
2026-08-21T19:55:54,203.0.113.30,대상,0,True,86.4,OK
2026-08-21T19:55:55,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:55:56,203.0.113.30,대상,0,True,87.0,OK
2026-08-21T19:55:57,203.0.113.30,대상,0,True,87.4,OK
2026-08-21T19:55:58,203.0.113.30,대상,0,True,87.7,OK
2026-08-21T19:55:59,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:00,203.0.113.30,대상,0,True,88.3,OK
2026-08-21T19:56:01,203.0.113.30,대상,0,True,88.6,OK
2026-08-21T19:56:02,203.0.113.30,대상,0,True,89.0,OK
2026-08-21T19:56:03,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:04,203.0.113.30,대상,0,True,89.6,OK
2026-08-21T19:56:05,203.0.113.30,대상,0,True,89.9,OK
2026-08-21T19:56:06,203.0.113.30,대상,0,True,90.2,OK
2026-08-21T19:56:07,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:08,203.0.113.30,대상,0,True,85.4,OK
2026-08-21T19:56:09,203.0.113.30,대상,0,True,85.8,OK
2026-08-21T19:56:10,203.0.113.30,대상,0,True,86.1,OK
2026-08-21T19:56:11,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:12,203.0.113.30,대상,0,True,86.7,OK
2026-08-21T19:56:13,203.0.113.30,대상,0,True,96.0,OK
2026-08-21T19:56:14,203.0.113.30,대상,0,True,87.4,OK
2026-08-21T19:56:15,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:16,203.0.113.30,대상,0,True,88.0,OK
2026-08-21T19:56:17,203.0.113.30,대상,0,True,88.3,OK
2026-08-21T19:56:18,203.0.113.30,대상,0,True,88.6,OK
2026-08-21T19:56:19,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:20,203.0.113.30,대상,0,True,89.3,OK
2026-08-21T19:56:21,203.0.113.30,대상,0,True,89.6,OK
2026-08-21T19:56:22,203.0.113.30,대상,0,True,89.9,OK
2026-08-21T19:56:23,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:24,203.0.113.30,대상,0,True,90.6,OK
2026-08-21T19:56:25,203.0.113.30,대상,0,True,85.4,OK
2026-08-21T19:56:26,203.0.113.30,대상,0,True,85.8,OK
2026-08-21T19:56:27,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:28,203.0.113.30,대상,0,True,86.4,OK
2026-08-21T19:56:29,203.0.113.30,대상,0,True,86.7,OK
2026-08-21T19:56:30,203.0.113.30,대상,0,True,87.0,OK
2026-08-21T19:56:31,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:32,203.0.113.30,대상,0,True,87.7,OK
2026-08-21T19:56:33,203.0.113.30,대상,0,True,88.0,OK
2026-08-21T19:56:34,203.0.113.30,대상,0,True,88.3,OK
2026-08-21T19:56:35,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:36,203.0.113.30,대상,0,True,89.0,OK
2026-08-21T19:56:37,203.0.113.30,대상,0,True,89.3,OK
2026-08-21T19:56:38,203.0.113.30,대상,0,True,98.6,OK
2026-08-21T19:56:39,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:40,203.0.113.30,대상,0,True,90.2,OK
2026-08-21T19:56:41,203.0.113.30,대상,0,True,90.6,OK
2026-08-21T19:56:42,203.0.113.30,대상,0,True,85.4,OK
2026-08-21T19:56:43,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:44,203.0.113.30,대상,0,True,86.1,OK
2026-08-21T19:56:45,203.0.113.30,대상,0,True,86.4,OK
2026-08-21T19:56:46,203.0.113.30,대상,0,True,86.7,OK
2026-08-21T19:56:47,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:48,203.0.113.30,대상,0,True,87.4,OK
2026-08-21T19:56:49,203.0.113.30,대상,0,True,87.7,OK
2026-08-21T19:56:50,203.0.113.30,대상,0,True,88.0,OK
2026-08-21T19:56:51,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:52,203.0.113.30,대상,0,True,88.6,OK
2026-08-21T19:56:53,203.0.113.30,대상,0,True,89.0,OK
2026-08-21T19:56:54,203.0.113.30,대상,0,True,89.3,OK
2026-08-21T19:56:55,203.0.113.30,대상,0,False,,TIMEOUT
2026-08-21T19:56:56,203.0.113.30,대상,0,True,89.9,OK
2026-08-21T19:56:57,203.0.113.30,대상,0,True,90.2,OK
2026-08-21T19:56:58,203.0.113.30,대상,0,True,90.6,OK
2026-08-21T19:56:59,203.0.113.30,대상,0,False,,TIMEOUT
